FIRST,LAST,NICKNAME,URL,NAME
Amir,Albazi,The Prince,http://ufcstats.com/fighter-details/6d35bf94f7d30241,Amir Albazi
Brett,Albee,,http://ufcstats.com/fighter-details/9b28292abe3166d5,Brett Albee
John,Albert,Prince,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,John Albert
Junior,Albini,Baby,http://ufcstats.com/fighter-details/c482c8605455a213,Junior Albini
Wes,Albritton,,http://ufcstats.com/fighter-details/184b955181bdef52,Wes Albritton
Aleksandra,Albu,Stitch,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,Aleksandra Albu
Israel,Albuquerque,,http://ufcstats.com/fighter-details/dd1b90eea08887f6,Israel Albuquerque
Juan,Alcain,,http://ufcstats.com/fighter-details/39f62b833e4cf126,Juan Alcain
Iuri,Alcantara,Marajo,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,Iuri Alcantara
Ildemar,Alcantara,Marajo,http://ufcstats.com/fighter-details/7c6e87729e824ef4,Ildemar Alcantara
Alfonso,Alcarez,,http://ufcstats.com/fighter-details/1e38bba6738b7b10,Alfonso Alcarez
Gilbert,Aldana,El Peligro,http://ufcstats.com/fighter-details/d26934530dc5b248,Gilbert Aldana
Irene,Aldana,,http://ufcstats.com/fighter-details/578ef12674df1e6a,Irene Aldana
Hector,Aldana,,http://ufcstats.com/fighter-details/c487223b0289bda9,Hector Aldana
Jose,Alday,Pochito,http://ufcstats.com/fighter-details/7460ddef986d3144,Jose Alday
Jose,Aldo,,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,Jose Aldo
JJ,Aldrich,,http://ufcstats.com/fighter-details/6fd953151d981979,JJ Aldrich
Irina,Alekseeva,Russian Ronda,http://ufcstats.com/fighter-details/103e2e33a60683e1,Irina Alekseeva
Talita,Alencar,Problem Child,http://ufcstats.com/fighter-details/d35298b6df168456,Talita Alencar
Jim,Alers,The Beast,http://ufcstats.com/fighter-details/fe5a9547479396ab,Jim Alers
John,Alessio,The Natural,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,John Alessio
Houston,Alexander,The Assassin,http://ufcstats.com/fighter-details/0541480fbf719d86,Houston Alexander
Kenneth,Alexander,The Machine,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,Kenneth Alexander
Lucas,Alexander,The Lion,http://ufcstats.com/fighter-details/11583163f45c7b31,Lucas Alexander
Marcio,Alexandre Junior,Lyoto,http://ufcstats.com/fighter-details/d53482bef23235ba,Marcio Alexandre Junior
Olaf,Alfonso,,http://ufcstats.com/fighter-details/b757c73f443d4fca,Olaf Alfonso
Pablo,Alfonso,The Hurricane,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,Pablo Alfonso
Levi,Alford,,http://ufcstats.com/fighter-details/41b34b7f11f6d085,Levi Alford
Bill,Algeo,Senor Perfecto,http://ufcstats.com/fighter-details/9abc648e76c4493a,Bill Algeo
Royce,Alger,,http://ufcstats.com/fighter-details/669a3cb6e394f515,Royce Alger
Amir,Aliakbari,,http://ufcstats.com/fighter-details/e17770faae3ca54c,Amir Aliakbari
Sultan,Aliev,,http://ufcstats.com/fighter-details/e70de1859b7ee78e,Sultan Aliev
Nurullo,Aliev,Tajik Eagle,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9,Nurullo Aliev
Ikram,Aliskerov,,http://ufcstats.com/fighter-details/b07aed698fba8624,Ikram Aliskerov
Leon,Aliu,The Albanian Lion,http://ufcstats.com/fighter-details/6db394bf6c3b017c,Leon Aliu
John,Allan,,http://ufcstats.com/fighter-details/6ebe96a116e79e52,John Allan
George,Allen,,http://ufcstats.com/fighter-details/1e13936d708bcff7,George Allen
Arnold,Allen,Almighty,http://ufcstats.com/fighter-details/040a74bb0a465c54,Arnold Allen
Brendan,Allen,All In,http://ufcstats.com/fighter-details/2f181c0467965b98,Brendan Allen
Daniel,Allen,,http://ufcstats.com/fighter-details/adf9a901308fb8e3,Daniel Allen
Ben,Alloway,Blanco,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,Ben Alloway
Asu,Almabayev,Zulfikar,http://ufcstats.com/fighter-details/8d3273573b85be09,Asu Almabayev
Bekzat,Almakhan,The Turan Warrior,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1,Bekzat Almakhan
John Dave,Almanza,The Striker,http://ufcstats.com/fighter-details/088aa1b19b2dc14a,John Dave Almanza
Ricardo,Almeida,Big Dog,http://ufcstats.com/fighter-details/91186547a7f3f758,Ricardo Almeida
Magno,Almeida,,http://ufcstats.com/fighter-details/d615d6a10a4704cd,Magno Almeida
Thomas,Almeida,Thominhas,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,Thomas Almeida
Ericka,Almeida,,http://ufcstats.com/fighter-details/67a992d4cff22466,Ericka Almeida
Estefani,Almeida,,http://ufcstats.com/fighter-details/f16ddfa31236efed,Estefani Almeida
